id,portal,title,property_type,canon,admin_fee,total_price,price_per_m2,neighborhood,zone,address,area_m2,bedrooms,bathrooms,parking,stratum,url,contact_phone,contact_whatsapp,contact_agency,contact_agent_name,images_count,main_image,verified,description
MQ-9851-M5863149,Metrocuadrado,"Apartamento en Arriendo, Miramar, Barranquilla",Apartamento,1554600,245400,1800000,26087,Miramar,Noroccidente,"Miramar, Barranquilla",69.0,3,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-miramar-3-habitaciones-2-banos-1-garajes/9851-M5863149,6053303333,573176969321,FINANCAR S.A,Asesor Comercial,12,https://multimedia.metrocuadrado.com/9851-M5863149/9851-M5863149_47.jpg,True,"Cómodo apartamento, amplio, fresco, se encuentra en piso alto de la torre, cocina integral abierta , con su horno y campana , pisos en porcelanato y con balcón. El edificio cuenta con piscina, salón social, parque infantil. Buena ubicación, zona residencial, cerca del centro comercial Miramar, sao 9"
FR-193941825,Finca Raiz,"Apartamento en Arriendo en Villa carolina, Barranquilla",Apartamento,1800000,0,1800000,26087,Villa carolina,Noroccidente,Carrera 75A # 86B - 159,69.0,2,2,1,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-villa-carolina-barranquilla/193941825,+5732,,Certain Pezzano,Certain Pezzano,14,https://cdn2.infocasas.com.uy/repo/img/6aae01c013806_infocdn__121513418-1-1784232335jpg.jpg,True,"Descubre este acogedor apartamento de 69 M2, 2 habitaciones, 2 baños en el corazón de Villa Carolina, una de las zonas más dinámicas de Barranquilla. Con un estrato 4, este inmueble construido en el año 2000 ofrece un espacio ideal para quienes buscan comodidad, funcionalidad en su día a día. Su ubi"
MQ-671-M6716329,Metrocuadrado,"Apartamento en Arriendo, La Cumbre, Barranquilla",Apartamento,1566000,234000,1800000,26471,La Cumbre,Noroccidente,"La Cumbre, Barranquilla",68.0,2,1,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-la-cumbre-2-habitaciones-1-banos-1-garajes/671-M6716329,3104736731,573160232662,Inmobiliaria,Agencia Arenas Arenas,14,https://multimedia.metrocuadrado.com/671-M6716329/671-M6716329_25.jpg,True,"Apartamento en arriendo ubicado en el norte de la ciudad de barranquilla, en el sector la cumbre, el edificio con vigilancia, el edificio cuenta con 5 pisos y el apartamento se encuentra en piso 2, con un área aproximada de 67mt2 que constan de 2 amplias habitaciones, 1 baño auxiliar, buena distribu"
MQ-23769-M7006577,Metrocuadrado,"Apartamento en Arriendo, Andalucia, Barranquilla",Apartamento,1800000,0,1800000,32727,Andalucia,Noroccidente,"Andalucia, Barranquilla",55.0,2,2,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-andalucia-2-habitaciones-2-banos-1-garajes/23769-M7006577,3163344763,573163344763,Inmobiliaria,GINA DEL SOCORRO BARRAZA SANJUAN,9,https://multimedia.metrocuadrado.com/23769-M7006577/23769-M7006577_1.jpg,True,SE ARRIENDA MODERNO APARTAMENTO EN ANDALUCIA  ÁREA 55 MTS  2 HABITACIONES  2 BAÑOS  SALA   COMEDOR  COCINA  1 GARAJE  CODIGO PRESTIGIO 109-49
FR-194133777,Finca Raiz,"Apartamento en Arriendo en El prado, Barranquilla",Apartamento,1800000,0,1800000,56250,El prado,Norte,Carrera 55 # 72-32,32.0,1,1,0,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-el-prado-barranquilla/194133777,+5731,,BIENCO SAS,BIENCO SAS,9,https://cdn2.infocasas.com.uy/repo/img/6a85cb0dbf8a4_infocdn__127165-1-1784137372jpg.jpg,True,"En el corazón de Barranquilla, en la emblemática Zona Norte del Centro Histórico, se encuentra este apartamento de 32 m², construido en 2020, que representa una oportunidad única para quienes buscan un espacio funcional en una ubicación estratégica. El barrio El Prado, conocido por su rica historia "
FR-194114435,Finca Raiz,"Apartamento en Arriendo en El porvenir, Barranquilla",Apartamento,1440000,380000,1820000,35686,El porvenir,Norte,Cra 41# 79-51,51.0,2,1,1,4,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-el-porvenir-barranquilla/194114435,+5730,,Issa Saieh Inmobiliaria,Issa Saieh Inmobiliaria,7,https://cdn2.infocasas.com.uy/repo/img/6a7e227020dc2_infocdn__32399-1-1786650909png.png,True,"Descubre este apartamento de 51 metros cuadrados distribuidos en 2 habitaciones, 1 baño, sala-comedor, cocina, área de labores y 1 parqueadero, este inmueble ofrece un espacio amplio y luminoso para tu comodidad. No pierdas la oportunidad de vivir en este lugar. ¡Contáctanos ahora para más informaci"
MQ-671-M6555720,Metrocuadrado,"Apartamento en Arriendo, Alto Prado, Barranquilla",Apartamento,1500000,332000,1832000,32140,Alto Prado,Norte,"Alto Prado, Barranquilla",57.0,1,1,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-alto-prado-1-habitaciones-1-banos-1-garajes/671-M6555720,3104736731,573160232662,Inmobiliaria,Agencia Arenas Arenas,12,https://multimedia.metrocuadrado.com/671-M6555720/671-M6555720_76.jpg,True,"Apartamento en arriendo en la ciudad de Barranquilla ubicado en el barrio Alto prado, en un edificio con vigilancia privada las 24 Horas y zonas sociales de entretenimiento, piscina, zona infantil, salón comunal, el edificio cuenta con 12 pisos, el apartamento se encuentra ubicado en el piso 2, con "
MQ-671-M6289938,Metrocuadrado,"Apartamento en Arriendo, Altos De Riomar, Barranquilla",Apartamento,1462000,378000,1840000,25205,Altos de Riomar,Noroccidente,"Altos de Riomar, Barranquilla",73.0,2,2,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-altos-de-riomar-2-habitaciones-2-banos-1-garajes/671-M6289938,3104736731,573160232662,Inmobiliaria,Agencia Arenas Arenas,12,https://multimedia.metrocuadrado.com/671-M6289938/671-M6289938_187.jpg,True,"Apartamento en arriendoventa ubicado en el norte de la ciudad, en el sector de Riomar, en edificio con vigilancia privada en zonas sociales de entretenimiento, el edificio cuenta con 4 pisos y el apartamento se encuentra en piso 4, con un área construida de 73.00 mt2 que constan de 2 amplias habitac"
MQ-13957-M7066013,Metrocuadrado,"Apartamento en Arriendo, San Vicente, Barranquilla",Apartamento,1536000,314000,1850000,26429,San Vicente,Norte,"San Vicente, Barranquilla",70.0,2,2,1,5,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-san-vicente-2-habitaciones-2-banos/13957-M7066013,3241000082,573014726883,CONINSA RAMON H. S.A. / Inmobiliaria,Asesor Comercial,36,https://multimedia.metrocuadrado.com/13957-M7066013/13957-M7066013_21.jpg,True,"CONINSA ARRIENDA APARTAMENTO EN SAN VICENTE, ubicado en una zona estratégica y de alta demanda, cerca de importantes clínicas, centros médicos, consultorios, servicios de salud y del Centro Comercial Viva. El apartamento cuenta con un área de 67 metros, está ubicado en el piso 10 con ascensor y disp"
MQ-9851-M6918346,Metrocuadrado,"Apartamento en Arriendo, Paraiso, Barranquilla",Apartamento,1603200,250000,1853200,27253,Paraiso,Norte,"Paraiso, Barranquilla",68.0,3,2,1,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-barranquilla-paraiso-3-habitaciones-2-banos-1-garajes/9851-M6918346,6053303333,573176969321,FINANCAR S.A,Asesor Comercial,12,https://multimedia.metrocuadrado.com/9851-M6918346/9851-M6918346_21.jpg,True,"EXCELENTE APARTAMENTO AMPLIO, FRESCO, BIEN ILUMINADO, CON MENOS DE UN AÑO DE ANTIGÜEDAD. CUENTA CON PISOS EN PORCELANATO, COCINA INTEGRAL ABIERTA Y DEPÓSITO. EL EDIFICIO OFRECE PISCINA, SALÓN SOCIAL, PARQUE INFANTIL, GIMNASIO. BUENA UBICACIÓN CERCA A CENTRO DE CONVENCIONES PUERTA DE ORO EN SECTOR DE"
